Name;Schl;Descriptor;Level;Casting Time;Range;Effect Type;Effect;Duration;Saving Throw;Short Description
Power Word Disable;Ench;Mind-Affecting;5;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;One living creature with 50 hp or less;Instantaneous;None;Reduces living creature with 50 hp or less to 0 hp.
Power Word Distract;Ench;Mind-Affecting;4;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;One living creature with 150 hp or less;Instantaneous;None;Makes one creature with 150 hp or less flat-footed.
Power Word Fatigue;Ench;Mind-Affecting;1;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;One living creature with 100 hp or less;See text;None;Makes one creature with 100 hp or less fatigued.
Power Word Kill;Ench;Death, Mind-Affecting;9;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;One living creature with 100 hp or less;Instantaneous;None;Kills one creature with 100 hp or less.
Power Word Maladroit;Ench;Mind-Affecting;3;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;One living creature with 75 hp or less;See text;None;Deals 2 points Dex damage to one creature with 75 hp or less.
Power Word Nauseate;Ench;Mind-Affecting;6;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;One living creature with 150 hp or less;See text;None;Makes one creature with 150 hp or less nauseated.
Power Word Pain;Ench;Mind-Affecting;1;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;One living creature with 100 hp or less;See text;None;Deal 1d6 points of damage per round to one creature with 100 hp or less.
Power Word Petrify;Ench;Mind-Affecting;8;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;One living creature with 100 hp or less;Instantaneous;None;Petrifies one creature with 100 hp or less.
Power Word Sicken;Ench;Mind-Affecting;2;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;One living creature with 100 hp or less.;See text;None;Sickens one creature with 100 hp or less.
Power Word Stun;Ench;Mind-Affecting;8;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;One creature with 150 hp or less;See text;None;Stuns creature with 150 hp or less.
Power Word Weaken;Ench;Mind-Affecting;3;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;One living creature with 75 hp or less;See text;None;Deals 2 points Str damage to one creature with 75 hp or less.
Precise Vision;Tran;;1;1 standard action;Personal;Target;You;10 min./level;None;See Text
Preserve Organ;Necr;;0;10 minutes;Touch;Effect;One organ;1 day;Fortitude negates (harmless);Protects one detached organ from decay for 24 hours.
Pressure Sphere;Evoc;Water;2;1 standard action;Medium (100 ft. + 10 ft./level);Area;20-ft.-radius spread;Instantaneous;Fortitude half;Water pressure deals 4d6 damage to submerged targets.
Price of Loyalty;Ench;Mind-Affecting;2;1 standard action;Touch;Target;One humanoid;1 hour/level;Will negates;Identical to charm person except subject does not know a spell was cast.
Primal Form;Tran;;3;1 standard action;Personal;Target;You;1 min./level (D);;You change into elemental, gain some abilities.
Primal Release;Tran;;8;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;One living creature (not you);10 min./level;Will negates;Subject gains physical bonuses (+10, +2, +10, -6, -2, -6) and Base Attack bonus becomes +1/HD of subject and gains feats.
Prismatic Eye;Evoc;;6;1 standard action;Medium (100 ft. + 10 ft./level);Effect;Magical eye;1 round/level;See text;Orb produces individual prismatic rays as touch attacks.
Prismatic Ray;Evoc;;5;1 standard action;Medium (100 ft. + 10 ft./level);Effect;Ray;Instantaneous;See text;Blind target with 6 HD or less and deal random effect.
Prismatic Sphere;Abj;;9;1 standard action;10 ft.;Effect;10-ft.-radius sphere centered on you;10 min./level (D);See text;As prismatic wall, but surrounds on all sides.
Prismatic Spray;Evoc;;7;1 standard action;60 ft.;Area;Cone-shaped burst;Instantaneous;See text;Rays hit subjects with variety of effects.
Prismatic Wall;Abj;;8;1 standard action;Close (25 ft. + 5 ft./2 levels);Effect;Wall 4 ft./level wide, 2 ft./level high;10 min./level (D);See text;Wall’s colors have array of effects.
Programmed Amnesia;Ench;Mind-Affecting;9;10 minutes;Close (25 ft. + 5 ft./2 levels);Target;One living creature;Permanent;Will negates;You can selectively destroy, alter, or implant memories in the target creature as you see fit.
Programmed Image;Illu;;6;1 standard action;Long (400 ft. + 40 ft./level);Effect;Visual figment that cannot extend beyond a 20-ft. cube + one 10-ft. cube/level (S);Permanent until triggered, then 1 round/level;Will disbelief (if interacted with);As major image, plus triggered by event.
Project Image;Illu;;7;1 standard action;Medium (100 ft. + 10 ft./level);Effect;One shadow duplicate;1 round/level (D);Will disbelief (if interacted with);Illusory double can talk and cast spells.
Protection from Arrows;Abj;;2;1 standard action;Touch;Target;Creature touched;1 hour/level or until discharged;Will negates (harmless);Subject immune to most ranged attacks.
Protection from Dessication;Abj;;3;1 standard action;Touch;Target;Living creature touched;10 min./level or until discharged;Fortitude negates (harmless);Absorb 10 points/level of dessication damage.
Protection from Energy;Abj;;3;1 standard action;Touch;Target;Creature touched;10 min./level or until discharged;Fortitude negates (harmless);Absorb 12 points/level of damage from one kind of energy.
Protection from Spells;Abj;;8;1 standard action;Touch;Targets;Up to one creature touched per four levels;10 min./level;Will negates (harmless);Confers +8 resistance bonus.
Proud Arrogance;Ench;;2;1 standard action;Medium (100 ft. + 10 ft./level);Target;One creature/level, no two of which can be more than 30 ft. apart;1 min./level;Will negates (harmless);Targets gain +4 bonus on saves against charm, compulsion, and fear.
Psychic Poison;Abj;Evil;4;10 minutes;Close (25 ft. + 5 ft./2 levels);Target or Area;50-ft.-radius spread, or one single object or creature that can fit in that area;1 hour/level;;Poisons those casting divination or mind-affecting spells at object, creature, or area.
Quick Potion;Tran;;4;1 round;Touch;Target;Flask of water touched;1 hour/level;Will negates (object);Creates a potion that must be used within 1 hour/level.
Quickshift;Tran;Good;6;1 round;Personal;Target;You;1 round/level;;Caster can use teleport or teleport, greater spell-like ability as a free action for 1 round/level.
Quickswim;Tran;;1;1 standard action;Personal;Target;You;1 hour/level (D);;Your swim speed increases by 10 ft.
Radiant Assault;Evoc;Light;7;1 standard action;Long (400 ft. + 40 ft./level);Area;20 ft. radius burst;Instantaneous;Will partial;Light burst deals nonlethal damage and dazes creatures.
Radiant Shield;Evoc;;4;1 standard action;Personal;Target;You;1 round/level (D);None;Creatures attacking you take electricity damage
Rage;Ench;Mind-Affecting;3;1 standard action;Medium (100 ft. + 10 ft./level);Targets;One willing living creature per three levels, no two of which may be more than 30 ft. apart;Concentration + 1 round/level (D);None;Gives +2 to Str and Con, +1 on Will saves, -2 to AC.
Raging Flame;Tran;Fire;1;1 standard action;Medium (100 ft. + 10 ft./level);Area;30-ft.-radius spread;Instantaneous;None;Accelerates burning fires, they last half as long, and burn twice as hot.
Rainbow Beam;Evoc;Light, Varies;2;1 standard action;Close (25 ft. + 5 ft./2 levels);Effect;Ray;Instantaneous;None;Ray does a random type of damage.
Rainbow Blast;Evoc;Light;3;1 standard action;120 ft.;Area;120-ft. line;Instantaneous;Reflex half;Line deals damage from each type of energy.
Rainbow Pattern;Illu;;4;1 standard action;Medium (100 ft. + 10 ft./level);Effect;Colorful lights with a 20-ft.-radius spread;Concentration + 1 round/level (D);Will negates;Lights fascinate 24 HD of creatures.
Raise From The Deep;Tran;Water;4;1 minute;Long (400 ft. + 40 ft./level);Target;One creature or object;1 hour/level;Fortitude negates (object);Creature or sunken ship made buoyant.
Raise Hummock;Tran;;5;10 minutes;Medium (100 ft. + 10 ft./level);Area;Two 5-ft. squares/level (S);Instantaneous;None;Raise swamp land into dry stable land.
Ray Deflection;Abj;;3;1 standard action;Personal;Target;You;1 min./level;None;Reflect ranged touch attacks back on caster.
Ray of Clumsiness;Tran;;1;1 standard action;Close (25 ft. + 5 ft./2 levels);Effect;Ray;1 min./level;Fortitude negates;Ray reduces Dex by 1d6 points +1 point/two levels.
Ray of Deanimation;Abj;;4;1 standard action;Close (25 ft. + 5 ft./2 levels);Effect;Ray;Instantaneous;Will half;Ray deals 1d6/level to constructs (max 10d6).
Ray of Depletion;Necr;;2;1 standard action;Close (25 ft. + 5 ft./2 levels);Effect;Ray;Instantaneous;Fortitude negates;Deplete some of a psion's power points.
Ray of Dizziness;Ench;Mind-Affecting;2;1 standard action;Close (25 ft. + 5 ft./2 levels);Effect;Ray;1 round/level;Will negates;Dizzying ray staggers enemy.
Ray of Enfeeblement;Necr;;1;1 standard action;Close (25 ft. + 5 ft./2 levels);Effect;Ray;1 min./level;None;Ray deals 1d6 +1 per two levels Str penalty.
Ray of Frost;Evoc;Cold;0;1 standard action;Close (25 ft. + 5 ft./2 levels);Effect;Ray;Instantaneous;None;Ray deals 1d3 cold damage.
Ray of Ice;Evoc;Cold;2;1 standard action;Close (25 ft. + 5 ft./2 levels);Effect;Ray;Instantaneous;See text;Ray deals 1d6 points +1d6/two levels cold damage.
Ray of Light;Evoc;Light;1;1 standard action;Close (25 ft. + 5 ft./2 levels);Effect;Cone of light or ray;10 min./level (D) or Instantaneous;See text;Creates a narrow cone of light.
Ray of Resurgence;Evoc;;2;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;One creature;Instantaneous;Fortitude negates (harmless);Yellow light restores 1 point/level (max 5 points) of Strength damage, negates penalties to Strength (up to 1d6+1/level, max +5) and either converts exhaustion to fatigue or removes fatigue.
Ray of Sickness;Necr;;2;1 standard action;Close (25 ft. + 5 ft./2 levels);Effect;Ray;1 round/level;Fortitude negates;Target becomes temporarily nauseated.
Ray of Stupidity;Ench;Mind-Affecting;2;1 standard action;Close (25 ft. + 5 ft./2 levels);Effect;Ray;1 min./level;Will negates;Ray reduces Int by 1d6 points +1 point/two levels.
Ray of Weakness;Necr;;4;1 standard action;Close (25 ft. + 5 ft./2 levels);Effect;Ray;Instantaneous;Fortitude half;Ray reduces Str by 2d6 points +1 point/two levels.
Razorfanqs;Tran;;2;1 standard action;Personal;Target;You;1 round/level;;Your bite or claw attack threatens a critical-hit on a 19 or 20.
Razorscales;Tran;;2;1 standard action;Personal;Target;You;1 round/level (D);;You deal lethal instead of nonlethal damage when grappling.
Read Magic;Div;;0;1 standard action;Personal;Target;You;10 min./level;;Read scrolls and spellbooks.
Reality Maelstrom;Evoc;;7;1 standard action;Medium (100 ft. + 10 ft./level);Area;5-ft.-radius/level emanation, centered on a point in space, and 10-ft.-radius/level burst centered on the same point;1 round/level;;You tear a temporary hole in reality itself that sucks all loose material and living creatures into it.
Rebuke;Ench;Fear, Mind-Affecting;2;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;One living creature;1 round/level;Will negates;Target is dazed 1 round, thereafter shaken, and distracted.
Rebuking Breath;Necr;;4;1 standard action;Personal;Target;Your breath weapon;Instantaneous;;Your breath weapon rebukes undead.
Reduce Person;Tran;;1;1 round;Close (25 ft. + 5 ft./2 levels);Target;One humanoid creature;1 min./level (D);Fortitude negates;Humanoid creature halves in size.
Reflective Disguise;Illu;;2;1 standard action;Personal;Target;You;10 min./level;;Viewers see you as their own species and gender.
Refuge;Conj;;9;1 standard action;Touch;Target;Object touched;Permanent until discharged;None;Alters item to transport its possessor to you.
Regal Procession;Conj;;3;1 round;Close (25 ft. + 5 ft./2 levels);Effect;One mount/level;2 hours/level (D);None;As mount, but you summon several mounts.
Regroup;Conj;;3;1 standard action;Close (25 ft. + 5 ft./2 levels);Targets;One willing creature/level;Instantaneous;None;Teleports nearby allies to your side.
Remorseless Charm;Ench;Evil, Mind-Affecting;6;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;See text;See text;Will negates;Suppress the target's alignment.
Remove Curse;Abj;;4;1 standard action;Touch;Target;Creature or item touched;Instantaneous;Will negates (harmless);Frees object or person from curse.
Remove Scent;Tran;;1;1 standard action;Touch;Target;Creature touched;10 min./level;Will negates;Hides touched creature's scent.
Rend Shadow Weave;Abj;;3;1 minute;Close (25 ft. + 5 ft./2 levels);Effect;One 10-ft.-cube area of the Shadow Weave;Instantaneous;None;You damage the Shadow Weave, creating an area of dead magic that only affects the Shadow Weave rather than the Weave.
Repair Critical Damage;Tran;;4;1 standard action;Touch;Target;Construct touched;Instantaneous;None;"""Cures"" 4d8 +1/level (max +20) points of damage to a construct."
Repair Light Damage;Tran;;1;1 standard action;Touch;Target;Construct touched;Instantaneous;None;"""Cures"" 1d8+1/level (max +5) points of damage to a construct."
Repair Minor Damage;Tran;;0;1 standard action;Touch;Target;Construct touched;Instantaneous;None;"""Cures"" 1 point of damage to a construct."
Repair Moderate Damage;Tran;;2;1 standard action;Touch;Target;Construct touched;Instantaneous;None;"""Cures"" 2d8+1/level (max +10) points of damage to a construct."
Repair Serious Damage;Tran;;3;1 standard action;Touch;Target;Construct touched;Instantaneous;None;"""Cures"" 3d8+1/level (max +15) points of damage to a construct."
Replicate Casting;Tran;see text;9;1 round;See text;Effect;One spell or spell-like ability;See text;See text;Duplicate observed spell or spell-like ability.
Repulsion;Abj;;6;1 standard action;10 ft./level;Area;Up to 10-ft.-radius/level emanation centered on you;1 round/level (D);Will negates;Creatures can't approach you.
Resilient Sphere;Evoc;Force;4;1 standard action;Close (25 ft. + 5 ft./2 levels);Effect;1-ft.-diameter/level sphere, centered around a creature;1 min./level (D);Reflex negates;Force globe protects but traps one subject.
Resist Energy;Abj;;2;1 standard action;Touch;Target;Creature touched;10 min./level;Fortitude negates (harmless);Ignores 10 (or more) points of damage/attack from specified energy type.
Resist Planar Alignment;Abj;;1;1 standard action;Touch;Target;Creature touched;10 min./level;Fortitude negates (harmless);Subject can resist penalties for being of an opposed alignment on an aligned Outer Plane.
Resistance;Abj;;0;1 standard action;Touch;Target;Creature touched;1 min.;Will negates (harmless);Subject gains +1 on saving throws.
